Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter),Cast ID,Device,File name,Cast time (UTC),Cast time (local),Sample type,Cast data,Location source,Default latitude,Default altitude,Start latitude,Start longitude,Start altitude,Start GPS horizontal error(Meter),Start GPS vertical error(Meter),Start GPS number of satellites,End latitude,End longitude,End altitude,End GPS horizontal error(Meter),End GPS vertical error(Meter),End GPS number of satellites,Cast duration (Seconds),Samples per second,Electronics calibration date,Conductivity calibration date,Temperature calibration date,Pressure calibration date,Dock Cluster,Dock Location,MLD
3.15,3.212780699615638,12.73523061064062,327.3975450822991,433.80885684845816,0.206888735462738,1458.0861538098443,999.5887859937897,CC2435009_20250513_195323.csv,CC2435009,CC2435009_20250513_195323,2025-05-13 19:53:23,2025-05-13 13:53:23,Cast,Processed,GPS,32,0,40.283442,-106.8537673,2189.33203125,5.506999969482422,7.002999782562256,9,40.2832954,-106.8536655,2221.95703125,33.99100112915039,49.80799865722656,8.0,22.0,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,0,Dock_1,5.0
3.45,3.5187563375890054,12.718468383198516,327.3520134388981,433.94128588836776,0.2069441953587401,1458.0289073624897,999.592319720648,CC2435009_20250513_195323.csv,CC2435009,CC2435009_20250513_195323,2025-05-13 19:53:23,2025-05-13 13:53:23,Cast,Processed,GPS,32,0,40.283442,-106.8537673,2189.33203125,5.506999969482422,7.002999782562256,9,40.2832954,-106.8536655,2221.95703125,33.99100112915039,49.80799865722656,8.0,22.0,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,0,Dock_1,5.0
3.75,3.82473071901191,12.689967707617752,327.36548915928927,434.287303850785,0.207098038897628,1457.9281955466497,999.5973764286892,CC2435009_20250513_195323.csv,CC2435009,CC2435009_20250513_195323,2025-05-13 19:53:23,2025-05-13 13:53:23,Cast,Processed,GPS,32,0,40.283442,-106.8537673,2189.33203125,5.506999969482422,7.002999782562256,9,40.2832954,-106.8536655,2221.95703125,33.99100112915039,49.80799865722656,8.0,22.0,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,0,Dock_1,5.0
4.05,4.130703470705569,12.65417487282088,327.3763912344114,434.71459982876246,0.2072878424471193,1457.800365106851,999.603348536596,CC2435009_20250513_195323.csv,CC2435009,CC2435009_20250513_195323,2025-05-13 19:53:23,2025-05-13 13:53:23,Cast,Processed,GPS,32,0,40.283442,-106.8537673,2189.33203125,5.506999969482422,7.002999782562256,9,40.2832954,-106.8536655,2221.95703125,33.99100112915039,49.80799865722656,8.0,22.0,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,0,Dock_1,5.0
4.35,4.436673372385977,12.56100319176844,327.0569767436895,435.36773375553054,0.2075587812321676,1457.4590178934006,999.6163787635415,CC2435009_20250513_195323.csv,CC2435009,CC2435009_20250513_195323,2025-05-13 19:53:23,2025-05-13 13:53:23,Cast,Processed,GPS,32,0,40.283442,-106.8537673,2189.33203125,5.506999969482422,7.002999782562256,9,40.2832954,-106.8536655,2221.95703125,33.99100112915039,49.80799865722656,8.0,22.0,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,0,Dock_1,5.0
4.65,4.742638199524748,12.406526721779594,326.6646228858475,436.64121145956335,0.2081002068711944,1456.8882081407478,999.6368867979996,CC2435009_20250513_195323.csv,CC2435009,CC2435009_20250513_195323,2025-05-13 19:53:23,2025-05-13 13:53:23,Cast,Processed,GPS,32,0,40.283442,-106.8537673,2189.33203125,5.506999969482422,7.002999782562256,9,40.2832954,-106.8536655,2221.95703125,33.99100112915039,49.80799865722656,8.0,22.0,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,0,Dock_1,5.0
4.949999999999999,5.048597641599441,12.294857383607996,326.43108295033096,437.6355157933992,0.2085262359865084,1456.4755607024026,999.6519470180943,CC2435009_20250513_195323.csv,CC2435009,CC2435009_20250513_195323,2025-05-13 19:53:23,2025-05-13 13:53:23,Cast,Processed,GPS,32,0,40.283442,-106.8537673,2189.33203125,5.506999969482422,7.002999782562256,9,40.2832954,-106.8536655,2221.95703125,33.99100112915039,49.80799865722656,8.0,22.0,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,0,Dock_1,5.0
5.249999999999999,5.354552408546208,12.175970890077124,326.37123086256486,438.954549200057,0.2091059350759301,1456.0347954685562,999.6678172000312,CC2435009_20250513_195323.csv,CC2435009,CC2435009_20250513_195323,2025-05-13 19:53:23,2025-05-13 13:53:23,Cast,Processed,GPS,32,0,40.283442,-106.8537673,2189.33203125,5.506999969482422,7.002999782562256,9,40.2832954,-106.8536655,2221.95703125,33.99100112915039,49.80799865722656,8.0,22.0,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,0,Dock_1,5.0
5.55,5.660497731542692,11.798185010138004,326.26516715642543,443.3169286291409,0.2110261231076169,1454.6148938350284,999.7140434768544,CC2435009_20250513_195323.csv,CC2435009,CC2435009_20250513_195323,2025-05-13 19:53:23,2025-05-13 13:53:23,Cast,Processed,GPS,32,0,40.283442,-106.8537673,2189.33203125,5.506999969482422,7.002999782562256,9,40.2832954,-106.8536655,2221.95703125,33.99100112915039,49.80799865722656,8.0,22.0,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,0,Dock_1,5.0
5.85,5.966425569144466,11.20068626869756,325.7066954886214,449.8625980058524,0.2138672526050478,1452.3384890275413,999.7824740006208,CC2435009_20250513_195323.csv,CC2435009,CC2435009_20250513_195323,2025-05-13 19:53:23,2025-05-13 13:53:23,Cast,Processed,GPS,32,0,40.283442,-106.8537673,2189.33203125,5.506999969482422,7.002999782562256,9,40.2832954,-106.8536655,2221.95703125,33.99100112915039,49.80799865722656,8.0,22.0,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,0,Dock_1,5.0
6.15,6.272333044545071,10.558225066700931,318.8640133777796,448.3688552784161,0.2127282803665361,1449.8469979910733,999.8475165595944,CC2435009_20250513_195323.csv,CC2435009,CC2435009_20250513_195323,2025-05-13 19:53:23,2025-05-13 13:53:23,Cast,Processed,GPS,32,0,40.283442,-106.8537673,2189.33203125,5.506999969482422,7.002999782562256,9,40.2832954,-106.8536655,2221.95703125,33.99100112915039,49.80799865722656,8.0,22.0,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,0,Dock_1,5.0
6.449999999999999,6.57822761396326,10.271866275310217,300.4649721292364,425.9272387006601,0.2016185924813385,1448.712957550646,999.8672187384232,CC2435009_20250513_195323.csv,CC2435009,CC2435009_20250513_195323,2025-05-13 19:53:23,2025-05-13 13:53:23,Cast,Processed,GPS,32,0,40.283442,-106.8537673,2189.33203125,5.506999969482422,7.002999782562256,9,40.2832954,-106.8536655,2221.95703125,33.99100112915039,49.80799865722656,8.0,22.0,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,0,Dock_1,5.0
6.749999999999999,6.884108676440057,9.48148249910979,292.14631652646324,423.6278363814631,0.1999522095414659,1445.5691580244372,999.9362015290612,CC2435009_20250513_195323.csv,CC2435009,CC2435009_20250513_195323,2025-05-13 19:53:23,2025-05-13 13:53:23,Cast,Processed,GPS,32,0,40.283442,-106.8537673,2189.33203125,5.506999969482422,7.002999782562256,9,40.2832954,-106.8536655,2221.95703125,33.99100112915039,49.80799865722656,8.0,22.0,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,0,Dock_1,5.0
